Date,Week,Temp_Max,Temp_Min,Humd_Max,Humd_Min,Nh3_Max,Nh3_Min,Co2_Max,Co2_Min,Dust_Max,Dust_Min,Feed,Weight
08-02-2023,1,35.4,25.5,55,27,15,9,2265,841,0.53,0.25,171.4,158.6
08-02-2023,1,30.9,20.1,40,23,19,12,2099,859,0.53,0.16,168.6,156.8
08-02-2023,1,33.4,23.5,42,21,16,11,3636,635,0.53,0.18,168.6,156.8
08-02-2023,1,34.4,21.9,42,22,25,12,3470,975,0.55,0.25,168.6,156.8
08-02-2023,1,34.5,21.4,47,22,17,7,2554,635,0.54,0.2,168.6,156.8
08-02-2023,1,35.4,23.1,50,27,18,7,2159,715,0.5,0.25,168.6,156.8
08-02-2023,1,35.4,24.6,55,33,18,8,3679,663,0.54,0.16,168.6,156.8
08-02-2023,1,35.4,25.5,55,27,24,7,3475,850,0.5,0.27,168.6,156.8
08-02-2023,1,30.9,20.1,40,23,17,9,2501,630,0.53,0.18,169.4,154.6
08-02-2023,1,33.4,23.5,42,21,20,7,2670,576,0.49,0.2,169.4,154.6
08-02-2023,1,34.4,21.9,42,22,17,11,3360,705,0.54,0.25,169.4,154.6
08-02-2023,1,34.5,21.4,47,22,17,8,2004,986,0.56,0.18,169.4,154.6
08-02-2023,1,35.4,23.1,50,27,24,8,3533,943,0.47,0.21,169.4,154.6
08-02-2023,1,35.4,24.6,55,33,18,12,2882,512,0.49,0.17,169.4,154.6
08-02-2023,1,35.4,25.5,55,27,23,8,3221,626,0.51,0.23,169.4,154.6
08-02-2023,1,30.9,20.1,40,23,17,11,3965,919,0.49,0.21,165.4,156.6
08-02-2023,1,33.4,23.5,42,21,24,7,2255,869,0.56,0.2,165.4,156.6
08-02-2023,1,34.4,21.9,42,22,22,8,3419,998,0.48,0.24,165.4,156.6
08-02-2023,1,34.5,21.4,47,22,15,11,2555,565,0.53,0.17,165.4,156.6
08-02-2023,1,35.4,23.1,50,27,23,11,3301,963,0.56,0.21,165.4,156.6
08-02-2023,1,35.4,24.6,55,33,25,9,2377,888,0.54,0.17,165.4,156.6
08-02-2023,1,35.4,25.5,55,27,24,10,3148,500,0.5,0.22,165.4,156.6
08-02-2023,1,30.9,20.1,40,23,17,7,2219,798,0.53,0.22,166.4,151.2
08-02-2023,1,33.4,23.5,42,21,15,8,2627,607,0.55,0.24,166.4,151.2
08-02-2023,1,34.4,21.9,42,22,20,7,2665,766,0.56,0.2,166.4,151.2
08-02-2023,1,34.5,21.4,47,22,25,9,3796,569,0.56,0.18,166.4,151.2
08-02-2023,1,35.4,23.1,50,27,25,7,3407,955,0.55,0.19,166.4,151.2
08-02-2023,1,35.4,24.6,55,33,16,10,3684,896,0.55,0.16,166.4,151.2
08-02-2023,1,35.4,25.5,55,27,25,10,3515,680,0.53,0.26,166.4,151.2
08-02-2023,1,30.9,20.1,40,23,15,12,2340,931,0.48,0.15,160.4,149.2
08-02-2023,1,33.4,23.5,42,21,25,10,2369,863,0.49,0.2,160.4,149.2
08-02-2023,1,34.4,21.9,42,22,23,7,2746,527,0.48,0.16,160.4,149.2
08-02-2023,1,34.5,21.4,47,22,16,7,3474,910,0.51,0.23,160.4,149.2
08-02-2023,1,35.4,23.1,50,27,16,8,2783,592,0.54,0.23,160.4,149.2
08-02-2023,1,35.4,24.6,55,33,20,10,3867,990,0.52,0.15,160.4,149.2
08-02-2023,1,35.4,25.5,55,27,17,10,2487,864,0.54,0.24,160.4,149.2
08-02-2023,1,30.9,20.1,40,23,24,12,2955,789,0.49,0.25,167.4,154
08-02-2023,1,33.4,23.5,42,21,24,7,3933,997,0.48,0.27,167.4,154
08-02-2023,1,34.4,21.9,42,22,25,8,3766,554,0.54,0.2,167.4,154
08-02-2023,1,34.5,21.4,47,22,20,12,2643,855,0.5,0.19,167.4,154
08-02-2023,1,35.4,23.1,50,27,20,10,3110,844,0.5,0.19,167.4,154
08-02-2023,1,35.4,24.6,55,33,15,12,3424,546,0.52,0.24,167.4,154
08-02-2023,1,35.4,25.5,55,27,25,7,2085,968,0.51,0.2,167.4,154
08-02-2023,1,30.9,20.1,40,23,18,11,3046,825,0.48,0.17,166.2,157.8
08-02-2023,1,33.4,23.5,42,21,21,9,2193,940,0.47,0.22,166.2,157.8
08-02-2023,1,34.4,21.9,42,22,16,9,2008,919,0.5,0.22,166.2,157.8
08-02-2023,1,34.5,21.4,47,22,24,11,2344,679,0.47,0.23,166.2,157.8
08-02-2023,1,35.4,23.1,50,27,19,7,2985,589,0.5,0.24,166.2,157.8
08-02-2023,1,35.4,24.6,55,33,23,11,3652,540,0.5,0.2,166.2,157.8
08-02-2023,1,35.4,25.5,55,27,18,9,3711,803,0.52,0.24,166.2,157.8
08-02-2023,1,30.9,20.1,40,23,18,12,3167,707,0.53,0.21,163.2,150.4
08-02-2023,1,33.4,23.5,42,21,24,11,2918,618,0.48,0.19,163.2,150.4
08-02-2023,1,34.4,21.9,42,22,19,10,2893,563,0.52,0.2,163.2,150.4
08-02-2023,1,34.5,21.4,47,22,24,8,3212,512,0.53,0.23,163.2,150.4
08-02-2023,1,35.4,23.1,50,27,22,9,2244,871,0.49,0.26,163.2,150.4
08-02-2023,1,35.4,24.6,55,33,19,10,3030,599,0.52,0.18,163.2,150.4
08-02-2023,1,35.4,25.5,55,27,18,8,3167,850,0.49,0.26,163.2,150.4
08-02-2023,1,30.9,20.1,40,23,16,7,2088,552,0.49,0.26,172,158.6
08-02-2023,1,33.4,23.5,42,21,16,9,2016,691,0.48,0.16,172,158.6
08-02-2023,1,34.4,21.9,42,22,17,9,2285,894,0.55,0.25,172,158.6
08-02-2023,1,34.5,21.4,47,22,24,12,2267,692,0.53,0.23,172,158.6
08-02-2023,1,35.4,23.1,50,27,24,10,2094,551,0.51,0.24,172,158.6
08-02-2023,1,35.4,24.6,55,33,20,10,3906,581,0.52,0.26,172,158.6
08-02-2023,1,35.4,25.5,55,27,21,10,3145,744,0.51,0.21,172,158.6
08-02-2023,1,30.9,20.1,40,23,17,12,3771,533,0.53,0.23,167,153.8
08-02-2023,1,33.4,23.5,42,21,25,9,2325,949,0.54,0.18,167,153.8
08-02-2023,1,34.4,21.9,42,22,21,7,3457,695,0.5,0.15,167,153.8
08-02-2023,1,34.5,21.4,47,22,19,10,3425,982,0.52,0.15,167,153.8
08-02-2023,1,35.4,23.1,50,27,23,9,3467,891,0.5,0.25,167,153.8
08-02-2023,1,35.4,24.6,55,33,18,10,3339,787,0.51,0.16,167,153.8
08-02-2023,1,35.4,25.5,55,27,18,10,2830,963,0.49,0.27,167,153.8
08-02-2023,1,30.9,20.1,40,23,23,9,2229,768,0.52,0.25,167.6,159.8
08-02-2023,1,33.4,23.5,42,21,25,11,3926,822,0.53,0.21,167.6,159.8
08-02-2023,1,34.4,21.9,42,22,20,9,3792,942,0.52,0.26,167.6,159.8
08-02-2023,1,34.5,21.4,47,22,17,7,2791,736,0.49,0.26,167.6,159.8
08-02-2023,1,35.4,23.1,50,27,15,12,3497,580,0.54,0.23,167.6,159.8
08-02-2023,1,35.4,24.6,55,33,23,10,2321,871,0.52,0.2,167.6,159.8
08-02-2023,1,35.4,25.5,55,27,25,9,3736,650,0.53,0.25,167.6,159.8
08-02-2023,1,30.9,20.1,40,23,25,7,2521,831,0.54,0.18,167,154.6
08-02-2023,1,33.4,23.5,42,21,20,11,2323,537,0.53,0.16,167,154.6
08-02-2023,1,34.4,21.9,42,22,23,8,3812,627,0.51,0.22,167,154.6
08-02-2023,1,34.5,21.4,47,22,21,7,2034,778,0.51,0.19,167,154.6
08-02-2023,1,35.4,23.1,50,27,15,12,2417,644,0.5,0.19,167,154.6
08-02-2023,1,35.4,24.6,55,33,17,12,3451,850,0.54,0.15,167,154.6
08-02-2023,1,35.4,25.5,55,27,23,10,2638,652,0.51,0.18,167,154.6
08-02-2023,1,30.9,20.1,40,23,23,10,2037,834,0.52,0.17,167.8,155.4
08-02-2023,1,33.4,23.5,42,21,23,8,2263,701,0.48,0.17,167.8,155.4
08-02-2023,1,34.4,21.9,42,22,15,8,2392,642,0.51,0.22,167.8,155.4
08-02-2023,1,34.5,21.4,47,22,25,12,2833,881,0.5,0.27,167.8,155.4
08-02-2023,1,35.4,23.1,50,27,23,7,2302,640,0.51,0.26,167.8,155.4
08-02-2023,1,35.4,24.6,55,33,16,7,3529,753,0.55,0.27,167.8,155.4
08-02-2023,1,35.4,25.5,55,27,25,12,3247,528,0.54,0.24,167.8,155.4
08-02-2023,1,30.9,20.1,40,23,21,7,3086,977,0.51,0.19,173.8,163
08-02-2023,1,33.4,23.5,42,21,25,10,3293,643,0.49,0.26,173.8,163
08-02-2023,1,34.4,21.9,42,22,16,12,3811,880,0.55,0.2,173.8,163
08-02-2023,1,34.5,21.4,47,22,18,8,3569,684,0.5,0.27,173.8,163
08-02-2023,1,35.4,23.1,50,27,24,12,2342,986,0.53,0.16,173.8,163
08-02-2023,1,35.4,24.6,55,33,15,10,2339,507,0.49,0.24,173.8,163
08-02-2023,1,35.4,25.5,55,27,20,7,2783,785,0.48,0.17,173.8,163
08-02-2023,1,30.9,20.1,40,23,23,10,3657,916,0.55,0.23,172.8,161.2
08-02-2023,1,33.4,23.5,42,21,20,8,3266,831,0.55,0.15,172.8,161.2
08-02-2023,1,34.4,21.9,42,22,16,10,2699,683,0.52,0.21,172.8,161.2
08-02-2023,1,34.5,21.4,47,22,17,7,2327,649,0.5,0.25,172.8,161.2
08-02-2023,1,35.4,23.1,50,27,25,11,2060,610,0.49,0.17,172.8,161.2
08-02-2023,1,35.4,24.6,55,33,23,8,2987,578,0.5,0.19,172.8,161.2
08-02-2023,1,35.4,25.5,55,27,15,10,3658,957,0.54,0.24,172.8,161.2
08-02-2023,1,30.9,20.1,40,23,23,9,3473,629,0.49,0.2,164.4,153
08-02-2023,1,33.4,23.5,42,21,21,12,2855,621,0.49,0.19,164.4,153
08-02-2023,1,34.4,21.9,42,22,19,11,2330,574,0.55,0.2,164.4,153
08-02-2023,1,34.5,21.4,47,22,16,8,2918,527,0.47,0.17,164.4,153
08-02-2023,1,35.4,23.1,50,27,15,11,3885,746,0.51,0.21,164.4,153
08-02-2023,1,35.4,24.6,55,33,22,10,3024,663,0.49,0.23,164.4,153
08-02-2023,1,35.4,25.5,55,27,21,8,3992,690,0.55,0.17,164.4,153
08-02-2023,1,30.9,20.1,40,23,23,8,3320,941,0.49,0.15,178.8,164.2
08-02-2023,1,33.4,23.5,42,21,18,11,3946,585,0.49,0.16,178.8,164.2
08-02-2023,1,34.4,21.9,42,22,25,11,2820,706,0.53,0.21,178.8,164.2
08-02-2023,1,34.5,21.4,47,22,25,12,3914,721,0.47,0.16,178.8,164.2
08-02-2023,1,35.4,23.1,50,27,20,8,3528,866,0.51,0.2,178.8,164.2
08-02-2023,1,35.4,24.6,55,33,17,7,2038,758,0.52,0.2,178.8,164.2
08-02-2023,1,35.4,25.5,55,27,16,9,2609,926,0.52,0.26,178.8,164.2
08-02-2023,1,30.9,20.1,40,23,22,9,3919,728,0.5,0.16,174.8,159.4
08-02-2023,1,33.4,23.5,42,21,16,9,2099,608,0.52,0.16,174.8,159.4
08-02-2023,1,34.4,21.9,42,22,17,9,3513,566,0.53,0.26,174.8,159.4
08-02-2023,1,34.5,21.4,47,22,16,11,3496,637,0.51,0.21,174.8,159.4
08-02-2023,1,35.4,23.1,50,27,17,8,3210,894,0.49,0.25,174.8,159.4
08-02-2023,1,35.4,24.6,55,33,19,12,2909,920,0.55,0.19,174.8,159.4
08-02-2023,1,35.4,25.5,55,27,16,11,2208,936,0.54,0.21,174.8,159.4
08-02-2023,1,30.9,20.1,40,23,17,11,2566,960,0.54,0.22,175.4,169.6
08-02-2023,1,33.4,23.5,42,21,23,9,3353,860,0.56,0.26,175.4,169.6
08-02-2023,1,34.4,21.9,42,22,15,8,3240,652,0.48,0.18,175.4,169.6
08-02-2023,1,34.5,21.4,47,22,22,11,3073,691,0.54,0.19,175.4,169.6
08-02-2023,1,35.4,23.1,50,27,16,12,3399,904,0.55,0.17,175.4,169.6
08-02-2023,1,35.4,24.6,55,33,16,12,3478,998,0.54,0.24,175.4,169.6
08-02-2023,1,35.4,25.5,55,27,25,7,2125,590,0.5,0.22,175.4,169.6
08-02-2023,1,30.9,20.1,40,23,15,9,3968,836,0.49,0.18,176.8,166.6
08-02-2023,1,33.4,23.5,42,21,18,8,2125,1000,0.49,0.21,176.8,166.6
08-02-2023,1,34.4,21.9,42,22,15,10,3546,825,0.55,0.25,176.8,166.6
08-02-2023,1,34.5,21.4,47,22,21,12,2410,853,0.48,0.2,176.8,166.6
08-02-2023,1,35.4,23.1,50,27,15,10,2321,672,0.5,0.22,176.8,166.6
08-02-2023,1,35.4,24.6,55,33,23,12,2122,804,0.55,0.17,176.8,166.6
08-02-2023,1,35.4,25.5,55,27,18,11,3446,855,0.54,0.22,176.8,166.6
08-02-2023,1,30.9,20.1,40,23,24,7,3697,891,0.52,0.19,168.8,152.8
08-02-2023,1,33.4,23.5,42,21,20,8,3499,820,0.54,0.22,168.8,152.8
08-02-2023,1,34.4,21.9,42,22,17,10,2498,947,0.53,0.2,168.8,152.8
08-02-2023,1,34.5,21.4,47,22,19,9,3995,633,0.48,0.26,168.8,152.8
08-02-2023,1,35.4,23.1,50,27,21,11,2614,774,0.54,0.25,168.8,152.8
08-02-2023,1,35.4,24.6,55,33,19,9,3746,637,0.53,0.16,168.8,152.8
08-02-2023,1,35.4,25.5,55,27,20,12,2980,922,0.55,0.19,168.8,152.8
08-02-2023,1,30.9,20.1,40,23,17,12,3439,880,0.51,0.16,177.8,164.8
08-02-2023,1,33.4,23.5,42,21,25,11,2023,981,0.49,0.19,177.8,164.8
08-02-2023,1,34.4,21.9,42,22,20,9,2887,804,0.51,0.18,177.8,164.8
08-02-2023,1,34.5,21.4,47,22,19,11,2565,813,0.49,0.22,177.8,164.8
08-02-2023,1,35.4,23.1,50,27,22,10,2565,659,0.56,0.18,177.8,164.8
08-02-2023,1,35.4,24.6,55,33,21,7,3569,621,0.48,0.25,177.8,164.8
08-02-2023,1,35.4,25.5,55,27,24,11,2750,999,0.52,0.16,177.8,164.8
08-02-2023,1,30.9,20.1,40,23,19,9,3169,944,0.48,0.17,165.2,158.4
08-02-2023,1,33.4,23.5,42,21,20,7,2449,781,0.5,0.25,165.2,158.4
08-02-2023,1,34.4,21.9,42,22,22,12,2157,744,0.51,0.25,165.2,158.4
08-02-2023,1,34.5,21.4,47,22,15,7,2447,704,0.5,0.22,165.2,158.4
08-02-2023,1,35.4,23.1,50,27,16,11,3472,855,0.55,0.16,165.2,158.4
08-02-2023,1,35.4,24.6,55,33,22,10,2203,685,0.5,0.16,165.2,158.4
08-02-2023,1,35.4,25.5,55,27,19,11,2851,646,0.51,0.25,165.2,158.4
08-02-2023,1,30.9,20.1,40,23,25,8,2988,844,0.5,0.27,175,160.6
08-02-2023,1,33.4,23.5,42,21,15,7,2282,641,0.54,0.26,175,160.6
08-02-2023,1,34.4,21.9,42,22,20,10,2303,501,0.56,0.27,175,160.6
08-02-2023,1,34.5,21.4,47,22,17,11,2178,997,0.48,0.27,175,160.6
08-02-2023,1,35.4,23.1,50,27,25,10,2209,709,0.47,0.25,175,160.6
08-02-2023,1,35.4,24.6,55,33,23,9,2490,745,0.48,0.19,175,160.6
08-02-2023,1,35.4,25.5,55,27,22,7,3210,730,0.51,0.18,175,160.6
08-02-2023,1,30.9,20.1,40,23,22,7,3517,558,0.47,0.25,180.6,164.4
08-02-2023,1,33.4,23.5,42,21,18,10,3885,606,0.52,0.26,180.6,164.4
08-02-2023,1,34.4,21.9,42,22,23,8,3581,856,0.55,0.15,180.6,164.4
08-02-2023,1,34.5,21.4,47,22,17,11,2583,742,0.51,0.17,180.6,164.4
08-02-2023,1,35.4,23.1,50,27,25,10,3470,771,0.49,0.24,180.6,164.4
08-02-2023,1,35.4,24.6,55,33,22,8,3065,592,0.54,0.25,180.6,164.4
08-02-2023,1,35.4,25.5,55,27,17,10,2991,989,0.54,0.18,180.6,164.4
08-02-2023,1,30.9,20.1,40,23,22,10,3782,638,0.52,0.21,170.4,159.8
08-02-2023,1,33.4,23.5,42,21,22,10,3409,935,0.55,0.21,170.4,159.8
08-02-2023,1,34.4,21.9,42,22,15,9,3276,614,0.5,0.19,170.4,159.8
08-02-2023,1,34.5,21.4,47,22,22,9,2393,783,0.5,0.16,170.4,159.8
08-02-2023,1,35.4,23.1,50,27,25,9,3335,962,0.49,0.19,170.4,159.8
08-02-2023,1,35.4,24.6,55,33,15,11,2104,561,0.52,0.25,170.4,159.8
08-02-2023,1,35.4,25.5,55,27,23,8,3638,511,0.56,0.21,170.4,159.8
08-02-2023,1,30.9,20.1,40,23,20,8,2819,953,0.53,0.25,166.8,166
08-02-2023,1,33.4,23.5,42,21,18,7,3179,674,0.49,0.19,166.8,166
08-02-2023,1,34.4,21.9,42,22,22,12,3438,669,0.48,0.18,166.8,166
08-02-2023,1,34.5,21.4,47,22,19,7,3783,592,0.49,0.18,166.8,166
08-02-2023,1,35.4,23.1,50,27,18,12,3842,621,0.54,0.21,166.8,166
08-02-2023,1,35.4,24.6,55,33,21,11,3278,958,0.49,0.26,166.8,166
08-02-2023,1,35.4,25.5,55,27,23,10,2690,564,0.56,0.23,166.8,166
08-02-2023,1,30.9,20.1,40,23,22,11,3323,736,0.53,0.23,171.8,160.2
08-02-2023,1,33.4,23.5,42,21,17,12,2950,749,0.54,0.19,171.8,160.2
08-02-2023,1,34.4,21.9,42,22,24,12,3736,725,0.49,0.19,171.8,160.2
08-02-2023,1,34.5,21.4,47,22,25,7,2517,632,0.52,0.25,171.8,160.2
08-02-2023,1,35.4,23.1,50,27,15,7,2487,646,0.55,0.2,171.8,160.2
08-02-2023,1,35.4,24.6,55,33,17,8,2408,920,0.53,0.25,171.8,160.2
08-02-2023,1,35.4,25.5,55,27,22,11,2190,500,0.49,0.21,171.8,160.2
08-02-2023,1,30.9,20.1,40,23,16,11,2386,877,0.53,0.22,173.6,159.2
08-02-2023,1,33.4,23.5,42,21,16,7,2291,955,0.53,0.22,173.6,159.2
08-02-2023,1,34.4,21.9,42,22,17,10,2544,678,0.56,0.21,173.6,159.2
08-02-2023,1,34.5,21.4,47,22,19,9,2591,996,0.48,0.16,173.6,159.2
08-02-2023,1,35.4,23.1,50,27,20,7,2318,886,0.49,0.19,173.6,159.2
08-02-2023,1,35.4,24.6,55,33,25,11,3142,583,0.48,0.26,173.6,159.2
08-02-2023,1,35.4,25.5,55,27,19,10,3849,709,0.52,0.19,173.6,159.2
08-02-2023,1,30.9,20.1,40,23,18,10,3816,534,0.5,0.24,169.2,159
08-02-2023,1,33.4,23.5,42,21,24,9,3711,616,0.53,0.26,169.2,159
08-02-2023,1,34.4,21.9,42,22,20,9,3656,900,0.48,0.2,169.2,159
08-02-2023,1,34.5,21.4,47,22,19,9,3563,560,0.5,0.2,169.2,159
08-02-2023,1,35.4,23.1,50,27,18,11,2047,810,0.5,0.26,169.2,159
08-02-2023,1,35.4,24.6,55,33,25,7,2540,874,0.51,0.22,169.2,159
08-02-2023,1,35.4,25.5,55,27,21,9,3780,655,0.51,0.21,169.2,159
08-02-2023,1,30.9,20.1,40,23,20,12,2441,871,0.5,0.19,168.8,158.8
08-02-2023,1,33.4,23.5,42,21,18,9,2662,526,0.51,0.27,168.8,158.8
08-02-2023,1,34.4,21.9,42,22,20,9,2374,595,0.48,0.18,168.8,158.8
08-02-2023,1,34.5,21.4,47,22,16,12,3162,598,0.56,0.23,168.8,158.8
08-02-2023,1,35.4,23.1,50,27,17,8,3094,587,0.51,0.23,168.8,158.8
08-02-2023,1,35.4,24.6,55,33,17,11,3563,678,0.53,0.24,168.8,158.8
08-02-2023,1,35.4,25.5,55,27,17,10,3749,995,0.51,0.15,168.8,158.8
08-02-2023,1,30.9,20.1,40,23,19,8,3763,755,0.54,0.21,167.8,158
08-02-2023,1,33.4,23.5,42,21,20,8,3879,901,0.52,0.16,167.8,158
08-02-2023,1,34.4,21.9,42,22,15,10,2069,606,0.54,0.26,167.8,158
08-02-2023,1,34.5,21.4,47,22,24,8,2582,634,0.51,0.22,167.8,158
08-02-2023,1,35.4,23.1,50,27,24,11,3896,653,0.52,0.22,167.8,158
08-02-2023,1,35.4,24.6,55,33,23,11,2846,894,0.53,0.23,167.8,158
08-02-2023,1,35.4,25.5,55,27,17,7,2804,850,0.54,0.22,167.8,158
08-02-2023,1,30.9,20.1,40,23,21,12,2106,609,0.47,0.18,165.4,151.8
08-02-2023,1,33.4,23.5,42,21,15,10,3986,965,0.48,0.19,165.4,151.8
08-02-2023,1,34.4,21.9,42,22,25,9,2700,809,0.49,0.17,165.4,151.8
08-02-2023,1,34.5,21.4,47,22,15,12,2257,854,0.5,0.23,165.4,151.8
08-02-2023,1,35.4,23.1,50,27,24,12,2436,832,0.49,0.26,165.4,151.8
08-02-2023,1,35.4,24.6,55,33,24,10,3086,957,0.53,0.22,165.4,151.8
08-02-2023,1,35.4,25.5,55,27,19,7,2923,990,0.49,0.15,165.4,151.8
08-02-2023,1,30.9,20.1,40,23,22,7,3795,980,0.53,0.2,167.2,157
08-02-2023,1,33.4,23.5,42,21,20,10,2277,641,0.49,0.23,167.2,157
08-02-2023,1,34.4,21.9,42,22,19,12,3090,633,0.48,0.16,167.2,157
